location,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E
20171205T2300,-0.53,78.0,1014.7,0.0,0.0,76.0,0.0,0.0,76.0,29.58959,290.55603,43.189495,291.00323,44.4436,283.586,56.777374,264.54245,115.0,1370.0,-3.18,-14.95
20171206T0000,-0.62,77.0,1016.0,0.1,0.07,100.0,0.0,0.0,100.0,28.727999,288.93903,42.35167,287.8189,44.202366,282.22513,53.401485,266.13455,125.0,1379.0,-3.37,-15.32
20171206T0100,-0.82,76.0,1016.2,0.1,0.0,100.0,0.0,0.0,100.0,28.519737,278.0544,42.10769,277.36804,44.692226,272.7702,58.192078,261.81976,126.0,1380.0,-3.61,-15.57
20171206T0200,-0.97,76.0,1016.8,0.0,0.0,53.0,0.0,0.0,53.0,30.122057,272.0273,44.31657,272.32782,48.993076,267.89447,63.85917,260.5908,131.0,1383.0,-3.86,-15.7
20171206T0300,-0.87,75.0,1017.2,0.0,0.0,55.0,0.0,0.0,55.0,29.038822,269.47437,42.846046,269.03714,49.119884,265.37585,65.683975,262.75815,134.0,1387.0,-3.73,-15.61
20171206T0400,-0.67,75.0,1017.0,0.0,0.0,100.0,0.0,0.0,100.0,26.939352,267.1659,39.658867,266.87787,45.010075,262.6476,59.8001,258.893,133.0,1387.0,-3.42,-15.3
20171206T0500,-0.37,77.0,1017.4,0.1,0.07,100.0,0.0,0.0,100.0,25.884706,261.11935,37.88048,261.25385,41.47506,256.44623,56.076862,254.35776,136.0,1392.0,-3.1,-14.92
20171206T0600,-0.19,78.0,1017.6,0.2,0.14,100.0,0.0,0.0,100.0,24.97349,258.9298,36.71294,258.69006,40.10406,253.84267,54.550392,253.11967,138.0,1395.0,-2.89,-14.63
20171206T0700,-0.03,84.0,1018.2,0.3,0.21000001,100.0,0.0,0.0,100.0,26.006426,263.53018,38.403748,263.5412,41.82512,256.56183,55.269085,256.05426,143.0,1401.0,-2.82,-14.4
20171206T0800,-0.09,82.0,1018.8,0.2,0.14,100.0,0.0,0.0,100.0,27.18455,271.6847,39.97459,271.54816,44.131947,264.38242,58.813457,266.13928,147.0,1404.0,-2.99,-14.61
20171206T0900,-0.2,82.0,1019.5,0.1,0.07,100.0,0.0,0.0,100.0,27.855047,279.91275,40.60347,280.214,43.73963,275.19443,56.521145,269.63507,152.0,1408.0,-3.19,-14.75
20171206T1000,-0.29,84.0,1020.4,0.1,0.07,100.0,0.0,0.0,100.0,29.019262,285.43964,42.9729,285.5498,44.554268,282.12708,50.039997,270.0,160.0,1415.0,-3.4,-14.96
20171206T1100,-0.45,85.0,1021.0,0.2,0.14,100.0,0.0,0.0,100.0,30.445452,285.7388,44.80373,285.37625,48.062355,278.61566,51.525295,267.59738,164.0,1418.0,-3.66,-15.18
20171206T1200,-0.39,86.0,1021.2,0.0,0.0,100.0,0.0,0.0,100.0,26.938032,278.53076,39.30435,278.42697,40.808823,265.44623,53.58682,258.76556,165.0,1421.0,-3.5,-14.73
20171206T1300,-0.42,87.0,1021.9,0.1,0.07,100.0,0.0,0.0,100.0,27.27837,275.04245,40.091137,274.63547,44.8153,264.9306,58.47535,260.07376,171.0,1425.0,-3.63,-14.95
20171206T1400,-0.48,86.0,1022.2,0.0,0.0,100.0,0.0,0.0,100.0,26.990673,274.5288,38.939953,273.17984,48.433044,264.8827,62.87645,262.10187,173.0,1427.0,-3.71,-15.44
20171206T1500,-0.47,81.0,1022.5,0.0,0.0,100.0,0.0,0.0,100.0,26.927492,272.26794,39.614723,271.56223,50.226128,265.06583,64.56757,262.95422,176.0,1429.0,-3.73,-15.41
20171206T1600,-0.22,81.0,1022.9,0.0,0.0,100.0,0.0,0.0,100.0,28.239658,269.45947,42.126152,269.0207,50.81486,262.67358,60.75366,264.5597,179.0,1433.0,-3.56,-15.43
20171206T1700,0.0,78.0,1023.2,0.0,0.0,100.0,0.0,0.0,100.0,30.107914,268.98602,45.012955,268.62518,51.48503,263.17316,60.609497,266.25385,181.0,1436.0,-3.39,-15.18
20171206T1800,0.0,77.0,1023.5,0.0,0.0,82.0,0.0,0.0,82.0,29.855824,272.0454,44.29317,271.3972,50.14478,266.29538,60.84106,269.66098,183.0,1438.0,-3.41,-15.24
20171206T1900,-0.04,78.0,1023.9,0.0,0.0,100.0,0.0,0.0,100.0,27.392605,277.26324,40.5907,276.6208,47.88,270.0,60.56672,273.0665,186.0,1442.0,-3.44,-14.88
20171206T2000,-0.11,77.0,1024.2,0.0,0.0,100.0,0.0,0.0,100.0,24.661793,280.58163,35.870163,280.4077,44.398376,274.1849,60.23629,277.20996,189.0,1444.0,-3.43,-15.05
20171206T2100,-0.17,75.0,1024.4,0.0,0.0,57.0,0.0,0.0,57.0,22.10478,282.5288,32.058193,282.31946,41.66368,276.44952,58.998276,275.9541,190.0,1446.0,-3.38,-14.84
20171206T2200,-0.12,74.0,1024.7,0.0,0.0,100.0,0.0,0.0,100.0,19.908834,282.3625,28.739187,282.2953,36.862663,275.04245,54.795734,273.0128,192.0,1449.0,-3.24,-14.52
20171206T2300,-0.1,73.0,1024.7,0.0,0.0,100.0,0.0,24.0,100.0,16.250399,280.38885,23.023119,279.90417,31.328272,268.6831,49.341015,271.6724,193.0,1451.0,-3.02,-14.13
20171207T0000,0.17,73.0,1024.8,0.0,0.0,100.0,0.0,59.0,100.0,12.358204,277.4314,17.015474,276.07245,24.087738,260.5377,41.406258,270.99634,194.0,1453.0,-2.74,-13.88
20171207T0100,0.79,76.0,1024.4,0.0,0.0,100.0,0.0,59.0,100.0,7.8892193,281.68936,11.367109,280.95407,16.87398,258.9298,37.483242,272.7525,191.0,1452.0,-2.53,-13.16
20171207T0200,1.8,82.0,1023.8,0.0,0.0,100.0,0.0,31.0,100.0,3.1067312,300.96378,4.198285,300.96378,10.483357,254.0546,31.526215,276.55695,186.0,1448.0,-2.37,-12.62
20171207T0300,1.81,81.0,1022.9,0.0,0.0,100.0,0.0,0.0,100.0,2.4123545,83.65981,3.6,89.99999,4.802999,192.99461,20.929596,266.0548,180.0,1442.0,-2.22,-12.07
20171207T0400,1.0,76.0,1022.2,0.0,0.0,100.0,0.0,0.0,100.0,6.6812778,94.57392,10.495713,95.90614,9.0,143.1301,17.238699,241.29405,174.0,1438.0,-2.03,-11.19
20171207T0500,0.74,72.0,1022.1,0.0,0.0,100.0,0.0,0.0,100.0,12.070595,112.036224,17.727943,113.96249,17.208603,142.65065,19.161337,205.60219,173.0,1439.0,-1.72,-10.85
20171207T0600,1.41,74.0,1021.3,0.0,0.0,100.0,0.0,0.0,100.0,18.04651,121.10881,26.486313,121.097305,27.155552,141.45882,29.957968,184.13467,168.0,1435.0,-1.26,-10.67
20171207T0700,2.25,72.0,1020.5,0.0,0.0,73.0,0.0,4.0,73.0,24.314016,122.47119,36.145504,123.21525,39.45738,135.36964,49.367275,177.4923,162.0,1433.0,-0.5,-9.58
20171207T0800,3.21,70.0,1019.2,0.0,0.0,100.0,0.0,100.0,100.0,32.023453,126.20259,48.674606,126.27661,51.51146,138.39972,63.745422,181.61809,152.0,1428.0,0.49,-8.9
20171207T0900,3.75,77.0,1017.9,0.0,0.0,100.0,0.0,96.0,100.0,37.281727,129.49104,56.464943,130.0862,62.2092,147.04562,75.37681,186.58194,142.0,1423.0,1.08,-7.5
20171207T1000,4.53,80.0,1016.5,0.0,0.0,100.0,0.0,88.0,100.0,40.6956,133.93909,62.367336,134.76614,72.37432,156.24007,84.52719,187.09476,131.0,1418.0,2.09,-6.54
20171207T1100,6.2,84.0,1014.8,0.1,0.0,100.0,0.0,100.0,100.0,44.440117,142.30576,68.32986,142.70749,86.40975,161.03665,96.49073,180.8551,119.0,1413.0,3.7,-5.91
20171207T1200,1.86,97.0,1014.4,2.8,1.9599999,100.0,28.0,100.0,100.0,28.895498,34.862183,45.868576,36.060425,38.921646,182.6507,60.89855,204.44395,114.0,1407.0,-0.31,-3.91
20171207T1300,1.76,95.0,1014.2,1.2,0.84000003,100.0,20.0,100.0,100.0,30.895512,29.438477,46.61826,30.129044,45.231243,213.31064,64.35044,220.46222,112.0,1404.0,-0.48,-4.91
20171207T1400,2.25,94.0,1013.6,0.2,0.14,100.0,34.0,100.0,100.0,31.59396,28.72612,47.379333,29.096878,46.34082,226.25905,52.94815,225.0,108.0,1400.0,0.02,-5.51
20171207T1500,2.3,94.0,1013.4,0.2,0.14,100.0,53.0,100.0,100.0,29.44654,28.651825,43.183495,28.915405,45.074818,226.6181,64.24765,228.17984,106.0,1395.0,0.15,-6.19
20171207T1600,2.06,94.0,1012.7,0.1,0.07,100.0,100.0,100.0,100.0,28.022696,29.001694,40.946735,29.49495,42.06458,221.87787,49.426308,236.88866,101.0,1389.0,-0.06,-5.73
20171207T1700,1.77,94.0,1012.5,0.0,0.0,100.0,100.0,100.0,100.0,24.883812,21.34578,37.72278,23.629364,29.836594,221.57614,44.445057,234.89392,99.0,1385.0,-0.17,-6.37
20171207T1800,1.35,92.0,1012.2,0.1,0.07,100.0,100.0,100.0,100.0,23.347645,16.57399,34.964508,16.755753,20.188908,238.86102,39.47708,245.77226,96.0,1380.0,-0.65,-6.23
20171207T1900,1.46,92.0,1011.6,0.0,0.0,100.0,100.0,100.0,100.0,22.034035,14.708298,32.489876,15.422165,16.595179,266.26862,36.776424,246.9487,92.0,1375.0,-0.38,-6.07
20171207T2000,1.49,91.0,1011.4,0.0,0.0,100.0,100.0,100.0,100.0,22.074259,17.560257,33.137604,17.056961,15.941944,295.4077,29.49804,246.2505,90.0,1372.0,-0.36,-6.67
20171207T2100,1.59,89.0,1011.5,0.0,0.0,100.0,100.0,100.0,100.0,21.32698,20.472275,32.023815,21.08374,17.057314,314.1449,16.09969,259.69516,91.0,1370.0,-0.19,-7.95
20171207T2200,1.6,88.0,1011.4,0.0,0.0,100.0,72.0,100.0,100.0,19.801605,19.653809,29.495842,19.983109,16.323528,311.42368,11.792404,282.33908,90.0,1367.0,-0.15,-8.84
20171207T2300,1.55,89.0,1011.6,0.0,0.0,100.0,83.0,100.0,100.0,16.672894,12.925995,25.071096,15.832382,13.783817,310.7636,13.039754,276.34018,92.0,1367.0,-0.13,-9.49
20171208T0000,1.52,90.0,1011.7,0.0,0.0,100.0,0.0,74.0,100.0,14.661684,2.0825653,20.598795,5.013092,12.496718,311.49646,14.417988,272.8624,93.0,1367.0,-0.15,-9.76
20171208T0100,1.59,87.0,1011.5,0.0,0.0,100.0,0.0,89.0,100.0,11.439701,332.24146,14.20062,329.53445,15.596767,288.85315,17.298738,282.01147,91.0,1365.0,-0.07,-9.92
20171208T0200,1.58,78.0,1011.0,0.0,0.0,100.0,0.0,100.0,100.0,13.407623,310.97174,17.595861,300.76273,21.09305,297.43973,20.833395,288.12186,87.0,1360.0,0.04,-10.17
20171208T0300,2.07,72.0,1010.5,0.0,0.0,50.0,0.0,35.0,50.0,18.725855,309.80557,27.887802,309.23737,30.096085,306.73285,29.775719,284.7083,84.0,1358.0,0.29,-10.06
20171208T0400,2.51,65.0,1010.4,0.0,0.0,48.0,0.0,48.0,10.0,22.136862,309.62903,33.697998,310.6677,33.24888,303.518,34.838253,283.74905,83.0,1357.0,0.71,-10.69
20171208T0500,2.36,65.0,1010.7,0.0,0.0,91.0,0.0,91.0,10.0,25.0501,302.84506,36.55729,302.125,37.419224,300.01837,36.50052,284.8586,85.0,1358.0,0.48,-10.91
20171208T0600,2.02,67.0,1010.8,0.0,0.0,11.0,0.0,11.0,10.0,26.00506,299.45367,38.535137,299.6785,37.249126,293.34402,36.93291,276.15515,86.0,1357.0,0.06,-11.23
20171208T0700,1.74,69.0,1011.3,0.0,0.0,61.0,0.0,61.0,10.0,25.018915,296.56506,35.90808,295.53745,36.158054,282.65256,44.19944,249.49858,90.0,1360.0,-0.24,-11.63
20171208T0800,1.31,71.0,1011.8,0.0,0.0,10.0,0.0,2.0,10.0,24.583971,299.89893,35.320385,299.9622,33.00436,283.88467,43.259956,251.56506,93.0,1361.0,-0.78,-12.15
20171208T0900,0.78,70.0,1012.1,0.0,0.0,100.0,0.0,100.0,12.0,23.288298,305.69006,33.985218,306.38437,29.427658,284.88626,38.868332,254.41908,96.0,1361.0,-1.3,-12.67
20171208T1000,0.39,70.0,1012.5,0.0,0.0,31.0,0.0,27.0,31.0,21.099487,307.30396,30.096085,306.73285,27.553526,287.48798,34.94968,251.37842,99.0,1362.0,-1.67,-13.0
20171208T1100,0.17,71.0,1012.6,0.0,0.0,22.0,0.0,0.0,22.0,19.273079,310.5154,27.841293,310.27985,25.96496,286.92752,35.80507,254.84595,99.0,1362.0,-1.87,-13.12
20171208T1200,0.19,67.0,1011.0,0.0,0.0,10.0,0.0,4.0,10.0,24.560867,310.60132,35.768856,310.10092,37.107944,300.29645,44.180374,284.14948,87.0,1348.0,-1.9,-13.5
20171208T1300,0.07,64.0,1011.2,0.0,0.0,10.0,0.0,0.0,10.0,24.7121,311.9413,35.936943,312.15787,39.140793,304.12854,44.057,288.583,88.0,1349.0,-2.03,-13.67
20171208T1400,0.02,62.0,1010.9,0.0,0.0,10.0,0.0,0.0,10.0,24.86812,314.13196,36.409866,313.79816,39.38505,306.45093,46.228825,289.56378,86.0,1346.0,-2.08,-13.78
20171208T1500,-0.07,61.0,1010.9,0.0,0.0,10.0,0.0,0.0,10.0,24.318394,312.78036,35.428463,312.11703,38.59227,306.65613,46.730717,291.22766,86.0,1345.0,-2.15,-13.88
20171208T1600,-0.15,60.0,1010.7,0.0,0.0,10.0,0.0,0.0,10.0,23.761923,312.27368,34.92,312.075,37.51262,307.19983,47.664326,291.72107,84.0,1344.0,-2.22,-13.94
20171208T1700,-0.21,61.0,1010.8,0.0,0.0,10.0,0.0,0.0,10.0,23.35828,315.0,33.857227,314.5692,35.815926,309.28943,45.526833,292.3062,85.0,1344.0,-2.26,-14.12
20171208T1800,-0.3,61.0,1010.8,0.0,0.0,10.0,0.0,0.0,10.0,22.887156,320.19443,33.233284,320.2739,35.132755,314.16968,44.780586,294.7108,85.0,1344.0,-2.37,-14.12
20171208T1900,-0.43,62.0,1010.1,0.0,0.0,10.0,0.0,0.0,10.0,23.178331,322.47156,33.626774,322.394,35.90086,313.78113,45.4114,295.3462,80.0,1338.0,-2.44,-14.15
20171208T2000,-0.52,62.0,1010.3,0.0,0.0,10.0,0.0,0.0,10.0,22.644,323.13013,32.61727,322.6242,34.897724,312.90985,43.86685,293.1986,81.0,1339.0,-2.53,-14.23
20171208T2100,-0.66,62.0,1010.8,0.0,0.0,26.0,0.0,26.0,10.0,20.69021,325.4915,29.46287,324.95062,31.336546,312.67218,44.25511,291.97452,85.0,1343.0,-2.64,-14.24
20171208T2200,-0.81,63.0,1010.9,0.0,0.0,100.0,0.0,100.0,10.0,19.006104,328.7608,26.980793,328.64294,28.775238,313.47925,44.05847,292.58386,86.0,1343.0,-2.76,-14.19
20171208T2300,-0.93,65.0,1011.2,0.0,0.0,100.0,0.0,100.0,41.0,17.681013,329.18433,24.57511,328.17255,27.248455,313.394,40.877045,289.552,88.0,1345.0,-2.84,-13.91
20171209T0000,-0.97,64.0,1011.6,0.0,0.0,60.0,0.0,60.0,47.0,17.037107,333.0343,23.993399,332.2815,26.474075,315.0,36.691753,285.9454,91.0,1349.0,-2.92,-13.78
20171209T0100,-0.99,62.0,1011.5,0.0,0.0,56.0,0.0,24.0,56.0,16.825434,336.6823,23.73271,337.71442,23.469128,318.7314,34.57687,271.78992,90.0,1348.0,-2.89,-13.42
20171209T0200,-0.98,63.0,1011.4,0.0,0.0,77.0,0.0,0.0,77.0,15.968452,332.15244,22.065973,331.76257,21.129883,314.30972,33.790176,255.8157,89.0,1347.0,-2.82,-13.37
20171209T0300,-1.01,67.0,1011.3,0.0,0.0,100.0,0.0,0.0,100.0,14.693113,315.0,20.12461,312.82526,19.64228,296.09543,36.324337,250.30798,89.0,1348.0,-2.72,-13.5
20171209T0400,-0.79,73.0,1011.4,0.0,0.0,100.0,0.0,0.0,100.0,14.439765,299.876,20.808498,300.11374,22.253124,279.30994,37.801712,250.5297,90.0,1349.0,-2.61,-13.45
20171209T0500,-0.8,82.0,1012.2,0.1,0.07,100.0,0.0,0.0,100.0,15.335942,287.1759,21.9718,288.1381,24.48,270.0,38.714645,247.01129,96.0,1356.0,-2.66,-13.34
20171209T0600,-0.61,89.0,1012.8,0.3,0.21000001,100.0,0.0,0.0,100.0,17.5824,270.0,25.223133,267.54596,30.05515,251.131,41.928795,246.73682,100.0,1361.0,-2.63,-13.44
20171209T0700,-0.1,84.0,1013.4,0.3,0.21000001,100.0,0.0,0.0,100.0,19.512777,265.30133,27.834309,264.80557,34.877293,258.69006,45.82193,259.13147,105.0,1366.0,-2.24,-13.63
20171209T0800,0.28,84.0,1014.1,0.3,0.21000001,100.0,0.0,0.0,100.0,24.3359,275.02408,35.463196,275.82635,39.606544,271.04163,45.719997,270.0,111.0,1372.0,-2.12,-13.66
20171209T0900,0.45,79.0,1015.1,0.2,0.14,100.0,0.0,0.0,100.0,29.993376,282.30804,44.554268,282.12708,47.657528,280.88553,55.46921,271.85962,119.0,1379.0,-2.16,-14.02
20171209T1000,0.35,79.0,1015.8,0.2,0.14,100.0,0.0,0.0,100.0,28.895498,288.2679,42.805195,288.1302,46.817993,282.43323,55.966972,274.42697,124.0,1384.0,-2.29,-14.16
20171209T1100,0.47,77.0,1016.2,0.2,0.14,100.0,0.0,0.0,100.0,26.715815,279.18054,39.30435,278.42697,42.664177,275.32574,55.48206,272.23117,127.0,1388.0,-2.13,-13.94
20171209T1200,0.88,77.0,1015.1,0.0,0.0,100.0,0.0,0.0,100.0,29.647104,274.1223,43.6551,273.78265,50.446266,272.45404,64.456085,268.71985,119.0,1382.0,-1.62,-13.62
20171209T1300,0.85,78.0,1015.4,0.0,0.0,100.0,0.0,0.0,100.0,29.89502,273.57632,44.35165,273.25723,51.851246,271.19348,64.83598,268.09085,122.0,1384.0,-1.7,-13.61
20171209T1400,0.87,77.0,1016.0,0.0,0.0,100.0,0.0,0.0,100.0,29.629145,273.60846,43.63283,273.31094,50.761276,270.40634,64.50432,267.44098,126.0,1388.0,-1.72,-13.58
20171209T1500,0.89,77.0,1016.4,0.0,0.0,100.0,0.0,0.0,100.0,28.535904,272.6754,42.144608,271.95807,48.965294,269.15747,62.872322,265.0729,129.0,1392.0,-1.7,-13.43
20171209T1600,1.01,78.0,1017.0,0.0,0.0,100.0,0.0,0.0,100.0,28.074566,274.8991,41.556225,274.96973,47.519997,270.0,61.938828,263.65982,134.0,1397.0,-1.62,-13.26
20171209T1700,0.92,77.0,1017.7,0.0,0.0,100.0,0.0,0.0,100.0,28.599253,279.11136,41.849903,278.4089,47.19434,272.1858,57.647224,263.18567,139.0,1401.0,-1.79,-13.44
20171209T1800,0.76,80.0,1018.0,0.0,0.0,100.0,0.0,0.0,100.0,26.938032,278.53076,38.948273,278.50458,45.725666,269.09778,54.561085,265.07938,141.0,1403.0,-1.91,-14.2
20171209T1900,0.73,81.0,1018.8,0.0,0.0,100.0,0.0,0.0,100.0,24.08969,280.1915,34.62369,278.97263,45.023033,268.16718,53.454845,265.36453,147.0,1409.0,-1.93,-14.22
20171209T2000,0.83,80.0,1019.1,0.0,0.0,100.0,0.0,0.0,100.0,21.591553,279.2299,30.599998,278.79742,41.456306,267.01337,50.29317,264.2486,150.0,1412.0,-1.8,-14.23
20171209T2100,0.87,76.0,1019.1,0.0,0.0,100.0,0.0,0.0,100.0,19.666746,278.56915,28.266306,276.58194,37.14286,266.66614,48.761066,265.34174,150.0,1414.0,-1.68,-13.14
20171209T2200,0.89,78.0,1019.8,0.0,0.0,100.0,0.0,0.0,100.0,17.057924,271.78992,24.48,270.0,33.202072,260.63983,51.941147,266.42368,156.0,1421.0,-1.58,-12.52
20171209T2300,1.22,83.0,1020.1,0.0,0.0,100.0,0.0,0.0,100.0,15.533656,264.09387,22.81957,263.65982,32.569557,246.55194,42.785507,255.37914,158.0,1425.0,-1.19,-12.3
20171210T0000,1.58,80.0,1020.6,0.0,0.0,100.0,0.0,0.0,100.0,14.977747,264.89783,21.316135,265.156,33.667217,245.35324,44.269753,255.39873,163.0,1431.0,-0.82,-11.73
20171210T0100,1.9,78.0,1020.6,0.0,0.0,100.0,0.0,0.0,100.0,13.651537,264.40067,20.316889,262.875,32.688713,244.56378,47.169617,257.66092,163.0,1433.0,-0.48,-11.05
20171210T0200,1.96,77.0,1020.1,0.0,0.0,100.0,5.0,45.0,100.0,11.191971,268.63608,17.28,270.0,29.62518,244.05771,52.83299,257.00537,159.0,1432.0,-0.36,-9.95
20171210T0300,2.62,82.0,1019.5,0.0,0.0,100.0,6.0,31.0,100.0,6.1272,270.0,10.08,270.0,30.274265,244.65384,52.939587,250.949,154.0,1430.0,-0.15,-8.57
20171210T0400,3.76,87.0,1018.7,0.0,0.0,100.0,2.0,2.0,100.0,0.9605189,303.69006,1.9386592,291.8014,29.88217,238.79948,42.83395,236.30994,148.0,1426.0,-0.01,-8.04
20171210T0500,3.0,83.0,1018.5,0.0,0.0,100.0,0.0,0.0,100.0,3.1968002,89.99999,3.96,89.99999,30.7542,231.65442,41.82512,228.48932,146.0,1427.0,0.21,-7.23
20171210T0600,2.77,78.0,1017.9,0.0,0.0,100.0,1.0,0.0,100.0,8.102239,99.46232,11.367109,100.954056,30.190672,210.84659,38.96324,218.24643,142.0,1425.0,0.74,-6.75
20171210T0700,2.97,79.0,1017.3,0.0,0.0,100.0,99.0,100.0,100.0,11.724627,111.31791,16.78156,112.71441,28.202042,194.03624,33.425762,221.06982,138.0,1422.0,1.07,-6.73
20171210T0800,2.96,84.0,1016.7,0.0,0.0,100.0,100.0,100.0,100.0,16.206669,115.30137,23.34455,116.56505,26.758923,197.21608,28.056913,213.48618,133.0,1419.0,1.02,-6.22
20171210T0900,3.23,86.0,1016.2,0.0,0.0,100.0,73.0,100.0,100.0,20.288422,113.19859,29.49804,113.7495,35.038563,175.28525,30.158459,203.1986,129.0,1418.0,1.07,-5.63
20171210T1000,3.52,86.0,1015.5,0.0,0.0,100.0,100.0,100.0,100.0,23.54741,111.92177,34.895866,111.80141,33.818928,191.66878,30.513052,199.29004,124.0,1415.0,1.41,-5.36
20171210T1100,4.3,86.0,1014.7,0.0,0.0,100.0,0.0,100.0,100.0,27.38224,109.31635,40.66088,110.19981,41.312252,167.41704,34.68166,189.5601,117.0,1412.0,2.27,-4.88
20171210T1200,5.21,88.0,1013.4,1.0,0.0,100.0,0.0,100.0,100.0,27.751667,93.301865,41.835968,93.45331,46.745968,122.09892,61.450424,171.91736,108.0,1401.0,3.29,-4.3
20171210T1300,5.65,89.0,1011.7,0.7,0.0,100.0,0.0,35.0,100.0,31.813334,94.80348,47.391647,95.66728,54.49691,133.394,69.90399,171.41087,95.0,1393.0,3.91,-3.09
20171210T1400,6.33,88.0,1010.8,0.1,0.0,100.0,0.0,35.0,100.0,32.10313,99.071495,47.88135,99.95807,63.16333,136.84761,72.79214,173.75368,88.0,1391.0,4.74,-2.41
20171210T1500,6.84,89.0,1009.8,0.4,0.0,100.0,0.0,100.0,100.0,31.840096,99.14708,48.235966,99.88412,61.858223,134.76422,79.01733,158.34401,79.0,1386.0,5.41,-1.38
20171210T1600,7.37,89.0,1008.2,1.1,0.0,100.0,0.0,12.0,100.0,32.184826,96.65443,48.983818,97.177246,72.47364,130.97174,79.72191,159.92847,67.0,1378.0,6.18,-0.98
20171210T1700,8.09,91.0,1006.9,0.3,0.0,100.0,0.0,2.0,100.0,31.655676,96.76617,48.26954,97.28402,68.70625,141.80905,57.73708,172.47618,56.0,1373.0,7.14,-1.2
20171210T1800,9.47,91.0,1004.9,0.0,0.0,13.0,0.0,13.0,0.0,27.921213,105.49484,42.93066,107.0674,44.456722,174.88959,41.556225,197.65013,40.0,1363.0,8.99,-0.46
20171210T1900,10.63,82.0,1003.8,0.0,0.0,0.0,0.0,0.0,0.0,21.128056,156.99113,34.619946,163.07248,39.254856,178.42345,33.818928,191.66878,31.0,1356.0,10.41,0.02
20171210T2000,10.15,76.0,1003.2,0.0,0.0,0.0,0.0,0.0,0.0,23.474964,170.85835,36.516495,170.35196,42.273567,184.88521,46.97827,193.2908,27.0,1351.0,9.84,0.19
20171210T2100,10.02,77.0,1002.2,0.0,0.0,100.0,0.0,4.0,100.0,24.81384,165.06857,39.21522,164.56035,51.88623,187.17432,58.288876,197.98734,18.0,1344.0,9.78,0.51
20171210T2200,9.9,84.0,1001.9,0.1,0.0,100.0,0.0,100.0,100.0,27.728645,171.7142,44.208233,173.4537,63.75151,198.43495,70.84321,207.21611,15.0,1338.0,9.67,-0.27
20171210T2300,10.18,80.0,1001.3,0.4,0.0,100.0,0.0,100.0,100.0,31.197247,177.55295,51.841248,179.60211,79.816956,199.49738,77.78166,207.8697,11.0,1333.0,10.02,-0.1
20171211T0000,10.72,76.0,1000.7,0.1,0.0,100.0,0.0,0.0,100.0,34.62892,187.07034,57.123276,188.33437,76.00434,210.45178,72.0,216.8699,6.0,1332.0,10.76,-0.2
20171211T0100,9.98,77.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,34.36663,212.33493,54.119865,213.05582,58.46759,238.85474,59.58625,226.46881,8.0,1332.0,9.82,-0.34
20171211T0200,9.68,81.0,1000.2,0.0,0.0,0.0,0.0,0.0,0.0,29.203321,215.71996,45.448486,215.32664,57.532455,225.50702,65.42201,225.22295,2.0,1324.0,9.54,-0.29
20171211T0300,9.47,78.0,999.5,0.0,0.0,10.0,0.0,0.0,10.0,26.791416,221.77548,41.775517,222.90475,54.730656,225.2665,61.737637,221.21736,-3.0,1315.0,8.78,-1.08
20171211T0400,9.09,75.0,999.0,0.0,0.0,64.0,0.0,0.0,64.0,24.694862,227.18579,37.705597,227.32153,44.30487,223.68309,63.147938,219.68011,-7.0,1307.0,8.35,-2.25
20171211T0500,8.44,77.0,998.6,0.2,0.0,100.0,0.0,0.0,100.0,20.580154,248.7495,30.821552,247.32866,30.811037,226.42026,49.837574,212.31248,-11.0,1301.0,7.66,-2.77
20171211T0600,5.91,86.0,998.9,0.0,0.0,100.0,0.0,0.0,100.0,25.447823,317.1211,39.468872,321.66666,19.174856,219.66785,49.019524,203.36435,-8.0,1296.0,4.63,-2.96
20171211T0700,5.64,77.0,998.6,0.0,0.0,100.0,0.0,0.0,100.0,19.88208,305.18073,28.357855,303.08487,27.169865,212.00539,54.76261,208.24974,-10.0,1291.0,4.63,-3.42
20171211T0800,5.44,78.0,997.9,0.0,0.0,100.0,0.0,0.0,100.0,15.398288,307.26642,21.096123,306.67438,31.89608,200.48036,57.640484,205.92491,-16.0,1284.0,4.52,-3.56
20171211T0900,4.67,82.0,998.2,0.0,0.0,100.0,0.0,0.0,100.0,17.001663,305.43332,23.688984,306.34747,26.729847,205.5297,51.692287,207.8143,-13.0,1282.0,3.6,-4.94
20171211T1000,3.93,86.0,998.0,0.0,0.0,100.0,0.0,0.0,100.0,22.461485,303.87854,32.949345,303.8637,19.826164,240.64224,38.988182,208.6949,-16.0,1276.0,2.62,-5.59
20171211T1100,3.69,86.0,997.7,0.0,0.0,100.0,0.0,0.0,100.0,25.52162,306.51108,37.51262,307.19983,23.444265,266.47855,34.1526,214.69516,-18.0,1272.0,2.32,-6.3
